fips_code,name,service_area_net_generation_mwh,fuel_type,year
0238420,Kenai,391019,Water at Hydroelectric Turbine,2021
0232150,Healy,4,Natural Gas,2021
0224230,Fairbanks,60301,Wind,2021
0278240,Toksook Bay,,,
0274350,Susitna North,38071,Landfill Gas,2021
0253050,Nenana,-3433,Electricity used for Energy Storage,2021
0223460,Ester,-3433,Electricity used for Energy Storage,2021
0233470,Hooper Bay,347,Wind,2021
0274830,Talkeetna,,,
0224980,Farmers Loop,60301,Wind,2021
0219720,Dot Lake,10385,Distillate Fuel Oil,2021
0274610,Takotna,61,Distillate Fuel Oil,2021
0266360,Saint Michael,,,
0250190,Moose Pass,,,
0213340,Chickaloon,38071,Landfill Gas,2021
0253050,Nenana,752897,Coal,2021
0282750,Wainwright,7344,Distillate Fuel Oil,2021
0238420,Kenai,531260,Natural Gas,2021
0266470,Saint Paul,3306,Distillate Fuel Oil,2021
0213860,Chiniak,-537,Electricity used for Energy Storage,2021
0267460,Savoonga,4946,Distillate Fuel Oil,2021
0220600,Eagle Village,,,
0213890,Chisana,,,
0241610,Kongiganak,,,
0225220,Ferry,-3433,Electricity used for Energy Storage,2021
0272135,South Lakes,,,
0250080,Moose Creek,752897,Coal,2021
0232150,Healy,105907,Distillate Fuel Oil,2021
0264600,Quinhagak,1123,Wind,2021
0226100,Fort Greely,375532,Waste Oil,2021
0212680,Chefornak,1185,Distillate Fuel Oil,2021
0233800,Houston,678574,Natural Gas,2021
0222910,Emmonak,5357,Distillate Fuel Oil,2021
0234570,Hyder,,,
0217300,Copper Center,25548,Waste Oil,2021
0266550,Salcha,60301,Wind,2021
0213780,Chignik Lake,,,
0213340,Chickaloon,678574,Natural Gas,2021
0218675,Deltana,60301,Wind,2021
0273070,Sterling,531260,Natural Gas,2021
0237430,Kaltag,7,Solar,2021
0212350,Chase,38071,Landfill Gas,2021
0268340,Seldovia,224,Distillate Fuel Oil,2021
0261788,Point MacKenzie,38071,Landfill Gas,2021
0240670,Knik River,,,
0226870,Fox,752897,Coal,2021
0284120,Whitestone,752897,Coal,2021
0255030,Nondalton,,,
0202080,Anaktuvuk Pass,4260,Distillate Fuel Oil,2021
0218805,Denali Park,,,
0261120,Pleasant Valley,672,Jet Fuel,2021
0243260,Lazy Mountain,678574,Natural Gas,2021
0204430,Atmautluak,1114,Distillate Fuel Oil,2021
0275480,Tazlina,12132,Distillate Fuel Oil,2021
0227420,Gakona,12132,Distillate Fuel Oil,2021
0254260,Nikolski,,,
0263280,Port Graham,224,Distillate Fuel Oil,2021
0226100,Fort Greely,,,
0219060,Diomede,401,Distillate Fuel Oil,2021
0214000,Chistochina,,,
0263390,Port Heiden,622,Distillate Fuel Oil,2021
0218925,Diamond Ridge,391019,Water at Hydroelectric Turbine,2021
0247990,Mekoryuk,922,Distillate Fuel Oil,2021
0228740,Glennallen,12132,Distillate Fuel Oil,2021
0232150,Healy,672,Jet Fuel,2021
0238420,Kenai,224,Distillate Fuel Oil,2021
0270760,Skagway,16976,Water at Hydroelectric Turbine,2021
0253050,Nenana,375532,Waste Oil,2021
0212920,Chena Ridge,-3433,Electricity used for Energy Storage,2021
0252210,Nanwalek,531260,Natural Gas,2021
0231710,Happy Valley,224,Distillate Fuel Oil,2021
0218620,Delta Junction,375532,Waste Oil,2021
0247735,Meadow Lakes,,,
0270540,Sitka,-796,Distillate Fuel Oil,2021
0285680,Womens Bay,25237,Wind,2021
0243260,Lazy Mountain,38071,Landfill Gas,2021
0201090,Akutan,516,Distillate Fuel Oil,2021
0240840,Kobuk,,,
0232150,Healy,60301,Wind,2021
0220380,Eagle,,,
0249200,Mill Bay,-537,Electricity used for Energy Storage,2021
0272230,South Van Horn,,,
0266550,Salcha,105907,Distillate Fuel Oil,2021
0229130,Goldstream,375532,Waste Oil,2021
0223460,Ester,4,Natural Gas,2021
0264240,Primrose,335,Distillate Fuel Oil,2021
0266510,Salamatof,224,Distillate Fuel Oil,2021
0247735,Meadow Lakes,678574,Natural Gas,2021
0227420,Gakona,58733,Water at Hydroelectric Turbine,2021
0268670,Shageluk,435,Distillate Fuel Oil,2021
0280660,Unalakleet,682,Wind,2021
0255745,North Lakes,678574,Natural Gas,2021
0224980,Farmers Loop,-3433,Electricity used for Energy Storage,2021
0276260,Tenakee Springs,418,Distillate Fuel Oil,2021
0250080,Moose Creek,105907,Distillate Fuel Oil,2021
0216420,Cohoe,531260,Natural Gas,2021
0237650,Kasaan,,,
0224230,Fairbanks,752897,Coal,2021
0285280,Willow,,,
0273400,Stony River,,,
0231050,Haines,1389,Distillate Fuel Oil,2021
0217410,Cordova,16458,Distillate Fuel Oil,2021
0279830,Two Rivers,375532,Waste Oil,2021
0231270,Halibut Cove,224,Distillate Fuel Oil,2021
0268890,Shaktoolik,293,Wind,2021
0210150,Cantwell,,,
0245700,Lutak,1389,Distillate Fuel Oil,2021
0254050,Nikiski,224,Distillate Fuel Oil,2021
0205000,Badger,4,Natural Gas,2021
0200760,Akiachak,2005,Distillate Fuel Oil,2021
0266510,Salamatof,391019,Water at Hydroelectric Turbine,2021
0254085,Nikolaevsk,531260,Natural Gas,2021
0260200,Perryville,,,
0240950,Kodiak,25237,Wind,2021
0236540,Kachemak,224,Distillate Fuel Oil,2021
0261120,Pleasant Valley,4,Natural Gas,2021
0215320,Clam Gulch,391019,Water at Hydroelectric Turbine,2021
0224230,Fairbanks,,,
0206850,Big Delta,752897,Coal,2021
0225220,Ferry,4,Natural Gas,2021
0224980,Farmers Loop,105907,Distillate Fuel Oil,2021
0203220,Anderson,752897,Coal,2021
0265345,Ridgeway,391019,Water at Hydroelectric Turbine,2021
0238910,Kenny Lake,58733,Water at Hydroelectric Turbine,2021
0285680,Womens Bay,-537,Electricity used for Energy Storage,2021
0233360,Hoonah,1489,Water at Hydroelectric Turbine,2021
0222140,Elfin Cove,374,Distillate Fuel Oil,2021
0244580,Livengood,105907,Distillate Fuel Oil,2021
0277800,Tok,10385,Distillate Fuel Oil,2021
0261120,Pleasant Valley,-3433,Electricity used for Energy Storage,2021
0217410,Cordova,37760,Water at Hydroelectric Turbine,2021
0273070,Sterling,391019,Water at Hydroelectric Turbine,2021
0250080,Moose Creek,-3433,Electricity used for Energy Storage,2021
0272230,South Van Horn,-3433,Electricity used for Energy Storage,2021
0238090,Kasilof,,,
0217960,Crown Point,335,Distillate Fuel Oil,2021
0254480,Ninilchik,224,Distillate Fuel Oil,2021
0238420,Kenai,,,
0218675,Deltana,752897,Coal,2021
0278350,Tonsina,58733,Water at Hydroelectric Turbine,2021
0205000,Badger,60301,Wind,2021
0206520,Bethel,1341,Wind,2021
0213670,Chignik Lagoon,19,Water at Hydroelectric Turbine,2021
0254920,Nome,2026,Wind,2021
0226100,Fort Greely,752897,Coal,2021
0220020,Dry Creek,,,
0274830,Talkeetna,139995,Water at Hydroelectric Turbine,2021
0253050,Nenana,,,
0285280,Willow,678574,Natural Gas,2021
0226835,Four Mile Road,,,
0243040,Larsen Bay,,,
0231710,Happy Valley,,,
0246780,Manley Hot Springs,1197,Distillate Fuel Oil,2021
0278240,Toksook Bay,6542,Distillate Fuel Oil,2021
0284510,Whittier,36383,Water at Hydroelectric Turbine,2021
0266550,Salcha,,,
0212920,Chena Ridge,4,Natural Gas,2021
0264980,Red Dog Mine,,,
0285610,Wiseman,,,
0248200,Mendeltna,25548,Waste Oil,2021
0221370,Eielson AFB,752897,Coal,2021
0284200,Whitestone Logging Camp,3513,Distillate Fuel Oil,2021
0251180,Mountain Village,3651,Distillate Fuel Oil,2021
0248870,Metlakatla,,,
0270540,Sitka,,,
0221040,Eek,1223,Distillate Fuel Oil,2021
0240645,Knik-Fairview,678574,Natural Gas,2021
0266510,Salamatof,531260,Natural Gas,2021
0223790,Evansville,519,Distillate Fuel Oil,2021
0263610,Port Lions,,,
0260640,Pilot Point,463,Distillate Fuel Oil,2021
0244580,Livengood,-3433,Electricity used for Energy Storage,2021
0216360,Coffman Cove,,,
0232150,Healy,752897,Coal,2021
0274350,Susitna North,139995,Water at Hydroelectric Turbine,2021
0206520,Bethel,41603,Distillate Fuel Oil,2021
0248200,Mendeltna,58733,Water at Hydroelectric Turbine,2021
0255910,North Pole,60301,Wind,2021
0218805,Denali Park,4,Natural Gas,2021
0242160,Kupreanof,,,
0262285,Portage Creek,,,
0226835,Four Mile Road,4,Natural Gas,2021
0224980,Farmers Loop,,,
0274525,Sutton-Alpine,678574,Natural Gas,2021
0226100,Fort Greely,-3433,Electricity used for Energy Storage,2021
0237975,Kasigluk,324,Wind,2021
0284120,Whitestone,672,Jet Fuel,2021
0283080,Wasilla,678574,Natural Gas,2021
0225000,Farm Loop,678574,Natural Gas,2021
0212920,Chena Ridge,752897,Coal,2021
0258550,Ouzinkie,669,Distillate Fuel Oil,2021
0239740,Kipnuk,1345,Distillate Fuel Oil,2021
0237250,Kalifornsky,224,Distillate Fuel Oil,2021
0225000,Farm Loop,,,
0260310,Petersburg,13520,Water at Hydroelectric Turbine,2021
0278297,Tolsona,12132,Distillate Fuel Oil,2021
0269770,Shishmaref,1852,Distillate Fuel Oil,2021
0268340,Seldovia,531260,Natural Gas,2021
0229130,Goldstream,4,Natural Gas,2021
0209657,Buffalo Soapstone,,,
0218620,Delta Junction,105907,Distillate Fuel Oil,2021
0222250,Elim,2744,Distillate Fuel Oil,2021
0225000,Farm Loop,38071,Landfill Gas,2021
0218510,Deering,61,Wind,2021
0233800,Houston,38071,Landfill Gas,2021
0217190,Cooper Landing,36383,Water at Hydroelectric Turbine,2021
0250080,Moose Creek,375532,Waste Oil,2021
0268560,Seward,335,Distillate Fuel Oil,2021
0267570,Saxman,,,
0229130,Goldstream,105907,Distillate Fuel Oil,2021
0229130,Goldstream,,,
0225550,Fishhook,38071,Landfill Gas,2021
0233910,Hughes,540,Distillate Fuel Oil,2021
0253820,Newtok,281,Distillate Fuel Oil,2021
0210150,Cantwell,4,Natural Gas,2021
0229290,Goodnews Bay,780,Distillate Fuel Oil,2021
0216750,College,60301,Wind,2021
0236400,Juneau,55994,Water at Hydroelectric Turbine,2021
0279830,Two Rivers,752897,Coal,2021
0239630,King Salmon,24331,Distillate Fuel Oil,2021
0260860,Pitkas Point,2063,Wind,2021
0230940,Gustavus,534,Distillate Fuel Oil,2021
0265345,Ridgeway,224,Distillate Fuel Oil,2021
0203000,Anchorage,1805318,Natural Gas,2021
0221370,Eielson AFB,4,Natural Gas,2021
0212350,Chase,139995,Water at Hydroelectric Turbine,2021
0276590,Tetlin,,,
0274525,Sutton-Alpine,139995,Water at Hydroelectric Turbine,2021
0243810,Levelock,459,Distillate Fuel Oil,2021
0237430,Kaltag,670,Distillate Fuel Oil,2021
0250190,Moose Pass,1805318,Natural Gas,2021
0210150,Cantwell,752897,Coal,2021
0216750,College,4,Natural Gas,2021
0267570,Saxman,96717,Water at Hydroelectric Turbine,2021
0218675,Deltana,4,Natural Gas,2021
0277140,Thorne Bay,22729,Water at Hydroelectric Turbine,2021
0217190,Cooper Landing,1805318,Natural Gas,2021
0285290,Willow Creek,25548,Waste Oil,2021
0233360,Hoonah,3513,Distillate Fuel Oil,2021
0229130,Goldstream,60301,Wind,2021
0255910,North Pole,752897,Coal,2021
0240645,Knik-Fairview,139995,Water at Hydroelectric Turbine,2021
0217300,Copper Center,58733,Water at Hydroelectric Turbine,2021
0286380,Wrangell,521,Distillate Fuel Oil,2021
0233800,Houston,,,
0267570,Saxman,-106,Distillate Fuel Oil,2021
0240950,Kodiak,-537,Electricity used for Energy Storage,2021
0217740,Craig,,,
0278350,Tonsina,25548,Waste Oil,2021
0271640,Soldotna,531260,Natural Gas,2021
0231270,Halibut Cove,531260,Natural Gas,2021
0209710,Butte,,,
0223460,Ester,752897,Coal,2021
0221370,Eielson AFB,-3433,Electricity used for Energy Storage,2021
0266360,Saint Michael,7127,Distillate Fuel Oil,2021
0270540,Sitka,119389,Water at Hydroelectric Turbine,2021
0206850,Big Delta,4,Natural Gas,2021
0216420,Cohoe,224,Distillate Fuel Oil,2021
0279830,Two Rivers,105907,Distillate Fuel Oil,2021
0281320,Upper Kalskag,1544,Distillate Fuel Oil,2021
0236770,Kake,1454,Distillate Fuel Oil,2021
0271090,Sleetmute,374,Distillate Fuel Oil,2021
0232150,Healy,375532,Waste Oil,2021
0267680,Scammon Bay,3421,Distillate Fuel Oil,2021
0205000,Badger,752897,Coal,2021
0218925,Diamond Ridge,531260,Natural Gas,2021
0203550,Aniak,2672,Distillate Fuel Oil,2021
0255745,North Lakes,,,
0254700,Noatak,3705,Distillate Fuel Oil,2021
0230940,Gustavus,2189,Water at Hydroelectric Turbine,2021
0200650,Akhiok,288,Distillate Fuel Oil,2021
0231710,Happy Valley,391019,Water at Hydroelectric Turbine,2021
0247990,Mekoryuk,5,Wind,2021
0230500,Gulkana,25548,Waste Oil,2021
0285280,Willow,139995,Water at Hydroelectric Turbine,2021
0226835,Four Mile Road,60301,Wind,2021
0281920,Utqiagvik,1,Distillate Fuel Oil,2021
0227700,Game Creek,,,
0258660,Palmer,139995,Water at Hydroelectric Turbine,2021
0218675,Deltana,672,Jet Fuel,2021
0283080,Wasilla,,,
0251180,Mountain Village,,,
0284120,Whitestone,,,
0227145,Funny River,,,
0213860,Chiniak,0,Distillate Fuel Oil,2021
0284510,Whittier,2,Distillate Fuel Oil,2021
0261700,Point Lay,3386,Distillate Fuel Oil,2021
0228590,Glacier View,139995,Water at Hydroelectric Turbine,2021
0279120,Tuntutuliak,48,Wind,2021
0275380,Tatitlek,429,Distillate Fuel Oil,2021
0274525,Sutton-Alpine,38071,Landfill Gas,2021
0272230,South Van Horn,105907,Distillate Fuel Oil,2021
0261120,Pleasant Valley,60301,Wind,2021
0225220,Ferry,,,
0273950,Sunrise,,,
0213670,Chignik Lagoon,516,Distillate Fuel Oil,2021
0228590,Glacier View,,,
0254050,Nikiski,,,
0277800,Tok,,,
0270100,Shungnak,32,Wind,2021
0233580,Hope,36383,Water at Hydroelectric Turbine,2021
0206850,Big Delta,672,Jet Fuel,2021
0246890,Manokotak,591,Distillate Fuel Oil,2021
0229130,Goldstream,752897,Coal,2021
0211800,Chalkyitsik,50,Distillate Fuel Oil,2021
0231710,Happy Valley,531260,Natural Gas,2021
0228200,Gateway,678574,Natural Gas,2021
0270320,Silver Springs,25548,Waste Oil,2021
0209710,Butte,139995,Water at Hydroelectric Turbine,2021
0268890,Shaktoolik,817,Distillate Fuel Oil,2021
0250080,Moose Creek,60301,Wind,2021
0261788,Point MacKenzie,678574,Natural Gas,2021
0206245,Beluga,2049,Natural Gas,2021
0237650,Kasaan,22729,Water at Hydroelectric Turbine,2021
0227090,Fritz Creek,391019,Water at Hydroelectric Turbine,2021
0201090,Akutan,169,Water at Hydroelectric Turbine,2021
0286490,Yakutat,,,
0251960,Nabesna,,,
0268370,Seldovia Village,224,Distillate Fuel Oil,2021
0230060,Grayling,612,Distillate Fuel Oil,2021
0275480,Tazlina,25548,Waste Oil,2021
0262620,Port Alsworth,934,Distillate Fuel Oil,2021
0256680,Nunapitchuk,,,
0227145,Funny River,391019,Water at Hydroelectric Turbine,2021
0254920,Nome,30210,Distillate Fuel Oil,2021
0225220,Ferry,375532,Waste Oil,2021
0214330,Chuathbaluk,273,Distillate Fuel Oil,2021
0255140,Noorvik,1962,Distillate Fuel Oil,2021
0266140,Saint Mary's,2063,Wind,2021
0213230,Chevak,845,Wind,2021
0214110,Chitina,432,Distillate Fuel Oil,2021
0244580,Livengood,672,Jet Fuel,2021
0210150,Cantwell,-3433,Electricity used for Energy Storage,2021
0260460,Petersville,38071,Landfill Gas,2021
0254050,Nikiski,391019,Water at Hydroelectric Turbine,2021
0217300,Copper Center,12132,Distillate Fuel Oil,2021
0218675,Deltana,-3433,Electricity used for Energy Storage,2021
0236990,Kaktovik,,,
0242050,Koyukuk,192,Distillate Fuel Oil,2021
0225550,Fishhook,678574,Natural Gas,2021
0284120,Whitestone,60301,Wind,2021
0270100,Shungnak,3267,Distillate Fuel Oil,2021
0252915,Nelchina,25548,Waste Oil,2021
0252060,Naknek,24331,Distillate Fuel Oil,2021
0266510,Salamatof,,,
0265800,Saint George,479,Distillate Fuel Oil,2021
0280100,Ugashik,,,
0254085,Nikolaevsk,224,Distillate Fuel Oil,2021
0270760,Skagway,1485,Distillate Fuel Oil,2021
0207070,Big Lake,,,
0240670,Knik River,38071,Landfill Gas,2021
0279830,Two Rivers,,,
0201860,Allakaket,663,Distillate Fuel Oil,2021
0284120,Whitestone,375532,Waste Oil,2021
0244580,Livengood,,,
0226870,Fox,672,Jet Fuel,2021
0260310,Petersburg,864,Distillate Fuel Oil,2021
0258660,Palmer,38071,Landfill Gas,2021
0203110,Anchor Point,,,
0216750,College,,,
0206850,Big Delta,60301,Wind,2021
0279230,Tununak,6542,Distillate Fuel Oil,2021
0265590,Ruby,680,Distillate Fuel Oil,2021
0218620,Delta Junction,672,Jet Fuel,2021
0238970,Ketchikan,-106,Distillate Fuel Oil,2021
0285280,Willow,38071,Landfill Gas,2021
0264820,Rampart,123,Distillate Fuel Oil,2021
0241500,Koliganek,690,Distillate Fuel Oil,2021
0203440,Angoon,1824,Distillate Fuel Oil,2021
0249200,Mill Bay,0,Distillate Fuel Oil,2021
0255140,Noorvik,14,Solar,2021
0268370,Seldovia Village,,,
0213340,Chickaloon,,,
0203220,Anderson,105907,Distillate Fuel Oil,2021
0203000,Anchorage,,,
0273950,Sunrise,1805318,Natural Gas,2021
0234790,Igiugig,1,Water at Hydroelectric Turbine,2021
0227090,Fritz Creek,224,Distillate Fuel Oil,2021
0242490,Kwigillingok,69,Wind,2021
0224230,Fairbanks,105907,Distillate Fuel Oil,2021
0213550,Chignik,,,
0228740,Glennallen,25548,Waste Oil,2021
