fips_code,name,reporting_entity_name,residential_rate,commercial_rate,industrial_rate,year
0201970,Ambler,Alaska Village Electric Cooperative,0.24,0.62,,2019
0201970,Ambler,Alaska Village Electric Cooperative,0.26,0.66,,2020
0201970,Ambler,Alaska Village Electric Cooperative,0.26,0.64,,2021
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.14,0.15,,2011
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.14,0.15,,2012
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.14,0.15,,2013
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.15,0.15,,2014
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.15,0.15,,2015
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.15,0.15,,2016
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.16,0.18,,2017
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.16,0.16,,2018
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.18,0.18,,2019
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.18,0.18,,2020
0202080,Anaktuvuk Pass,North Slope Borough Power & Light,0.15,0.15,,2021
0203110,Anchor Point,Homer Electric Assn Inc,0.20,0.18,0.08,2011
0203110,Anchor Point,Homer Electric Assn Inc,0.20,0.18,0.09,2012
0203110,Anchor Point,Homer Electric Assn Inc,0.21,0.18,0.08,2013
0203110,Anchor Point,Homer Electric Assn Inc,0.24,0.21,0.10,2014
0203110,Anchor Point,Homer Electric Assn Inc,0.25,0.22,0.11,2015
0203110,Anchor Point,Homer Electric Assn Inc,0.26,0.23,0.11,2016
0203110,Anchor Point,Homer Electric Assn Inc,0.26,0.23,0.11,2017
0203110,Anchor Point,Homer Electric Assn Inc,0.27,0.23,0.11,2018
0203110,Anchor Point,Homer Electric Assn Inc,0.27,0.23,0.11,2019
0203110,Anchor Point,Homer Electric Assn Inc,0.29,0.26,0.12,2020
0203110,Anchor Point,Homer Electric Assn Inc,0.28,0.25,0.12,2021
0203000,Anchorage,Chugach Electric Assn Inc,0.14,0.12,0.11,2011
0203000,Anchorage,Anchorage Municipal Light and Power,0.13,0.10,,2011
0203000,Anchorage,Chugach Electric Assn Inc,0.14,0.12,0.11,2012
0203000,Anchorage,Anchorage Municipal Light and Power,0.12,0.09,,2012
0203000,Anchorage,Anchorage Municipal Light and Power,0.13,0.10,,2013
0203000,Anchorage,Chugach Electric Assn Inc,0.15,0.12,0.11,2013
0203000,Anchorage,Anchorage Municipal Light and Power,0.16,0.13,,2014
0203000,Anchorage,Chugach Electric Assn Inc,0.16,0.13,0.12,2014
0203000,Anchorage,Anchorage Municipal Light and Power,0.17,0.14,,2015
0203000,Anchorage,Chugach Electric Assn Inc,0.17,0.14,0.12,2015
0203000,Anchorage,Chugach Electric Assn Inc,0.18,0.15,0.13,2016
0203000,Anchorage,Anchorage Municipal Light and Power,0.17,0.14,,2016
0203000,Anchorage,Anchorage Municipal Light and Power,0.21,0.17,,2017
0203000,Anchorage,Chugach Electric Assn Inc,0.20,0.16,0.15,2017
0203000,Anchorage,Chugach Electric Assn Inc,0.20,0.16,0.14,2018
0203000,Anchorage,Anchorage Municipal Light and Power,0.20,0.15,,2018
0203000,Anchorage,Anchorage Municipal Light and Power,0.23,0.16,,2019
0203000,Anchorage,Chugach Electric Assn Inc,0.21,0.17,0.15,2019
0203000,Anchorage,Chugach Electric Assn Inc,0.21,0.17,0.15,2020
0203000,Anchorage,Anchorage Municipal Light and Power,0.21,0.16,,2020
0203000,Anchorage,Chugach Electric Assn Inc,0.21,0.16,0.14,2021
0203220,Anderson,Golden Valley Elec Assn Inc,0.22,0.21,0.17,2011
0203220,Anderson,Golden Valley Elec Assn Inc,0.24,0.23,0.19,2012
0203220,Anderson,Golden Valley Elec Assn Inc,0.23,0.21,0.17,2013
0203220,Anderson,Golden Valley Elec Assn Inc,0.23,0.21,0.17,2014
0203220,Anderson,Golden Valley Elec Assn Inc,0.21,0.19,0.15,2015
0203220,Anderson,Golden Valley Elec Assn Inc,0.23,0.21,0.16,2016
0203220,Anderson,Golden Valley Elec Assn Inc,0.24,0.22,0.17,2017
0203220,Anderson,Golden Valley Elec Assn Inc,0.25,0.24,0.18,2018
0203220,Anderson,Golden Valley Elec Assn Inc,0.26,0.25,0.18,2019
0203220,Anderson,Golden Valley Elec Assn Inc,0.25,0.24,0.17,2020
0203220,Anderson,Golden Valley Elec Assn Inc,0.27,0.26,0.18,2021
0203440,Angoon,Inside Passage Electric,0.23,0.63,,2011
0203440,Angoon,Inside Passage Electric,0.22,0.63,,2012
0203440,Angoon,Inside Passage Electric,0.22,0.65,,2013
0203440,Angoon,Inside Passage Electric,0.22,0.62,,2014
0203440,Angoon,Inside Passage Electric,0.23,0.57,,2015
0203440,Angoon,Inside Passage Electric,0.23,0.49,,2016
0203440,Angoon,Inside Passage Electric,0.24,0.53,,2017
0203440,Angoon,Inside Passage Electric,0.26,0.59,,2018
0203440,Angoon,Inside Passage Electric,0.27,0.62,,2019
0203440,Angoon,Inside Passage Electric,0.28,0.57,,2020
0203440,Angoon,Inside Passage Electric,0.29,0.63,,2021
0203550,Aniak,Aniak Light & Power,0.28,0.72,,2011
0203550,Aniak,Aniak Light & Power,0.28,0.76,,2012
0203550,Aniak,Aniak Light & Power,0.27,0.76,,2013
0203550,Aniak,Aniak Light & Power,0.28,0.71,,2014
0203550,Aniak,Aniak Light & Power,0.28,0.72,,2015
0203550,Aniak,Aniak Light & Power,0.27,0.58,,2016
0203550,Aniak,Aniak Light & Power,0.28,0.58,,2017
0203550,Aniak,Aniak Light & Power,0.30,0.63,,2018
0203550,Aniak,Aniak Light & Power,0.76,1.08,,2019
0203550,Aniak,Aniak Light & Power,0.31,0.58,,2020
0203550,Aniak,Aniak Light & Power,0.34,0.70,,2021
0203880,Anvik,Alaska Village Electric Cooperative,0.21,0.59,,2011
0203880,Anvik,Alaska Village Electric Cooperative,0.22,0.65,,2012
0203880,Anvik,Alaska Village Electric Cooperative,0.21,0.65,,2013
0203880,Anvik,Alaska Village Electric Cooperative,0.21,0.65,,2014
0203880,Anvik,Alaska Village Electric Cooperative,0.22,0.66,,2015
0203880,Anvik,Alaska Village Electric Cooperative,0.22,0.52,,2016
0203880,Anvik,Alaska Village Electric Cooperative,0.22,,,2017
0203880,Anvik,Alaska Village Electric Cooperative,0.24,,,2018
0203880,Anvik,Alaska Village Electric Cooperative,0.24,,,2019
0203880,Anvik,Alaska Village Electric Cooperative,0.26,,,2020
0203880,Anvik,Alaska Village Electric Cooperative,0.26,,,2021
0203990,Arctic Village,Arctic Village Electric Company,0.32,0.68,,2013
0203990,Arctic Village,Arctic Village Electric Company,0.43,0.93,,2014
0203990,Arctic Village,Arctic Village Electric Company,0.54,1.00,,2015
0203990,Arctic Village,Arctic Village Electric Company,0.30,1.00,,2016
0203990,Arctic Village,Arctic Village Electric Company,0.21,1.00,,2017
0203990,Arctic Village,Arctic Village Electric Company,0.23,1.00,,2018
0203990,Arctic Village,Arctic Village Electric Company,0.23,1.00,,2019
0203990,Arctic Village,Arctic Village Electric Company,0.24,1.00,,2020
0203990,Arctic Village,Arctic Village Electric Company,0.27,1.00,,2021
0204210,Atka,City of Atka,0.20,0.70,,2011
0204210,Atka,City of Atka,0.19,0.76,,2012
0204210,Atka,City of Atka,0.16,0.74,,2013
0204210,Atka,City of Atka,0.27,0.73,,2014
0204210,Atka,City of Atka,0.32,0.73,,2015
0204210,Atka,City of Atka,0.32,0.71,,2016
0204210,Atka,City of Atka,0.41,0.67,,2017
0204210,Atka,City of Atka,0.40,0.63,,2018
0204210,Atka,City of Atka,0.40,0.63,,2019
0204210,Atka,City of Atka,0.41,0.63,,2020
0204210,Atka,City of Atka,0.41,0.63,,2021
0204430,Atmautluak,Atmautluak Tribal Utilities,0.34,0.70,,2011
0204430,Atmautluak,Atmautluak Tribal Utilities,0.42,0.80,,2012
0204430,Atmautluak,Atmautluak Tribal Utilities,0.44,0.80,,2013
0204430,Atmautluak,Atmautluak Tribal Utilities,0.47,0.80,,2014
0204430,Atmautluak,Atmautluak Tribal Utilities,0.50,0.80,,2015
0204430,Atmautluak,Atmautluak Tribal Utilities,0.53,0.80,,2016
0204430,Atmautluak,Atmautluak Tribal Utilities,0.45,0.70,,2017
0204430,Atmautluak,Atmautluak Tribal Utilities,0.33,0.70,,2018
0204430,Atmautluak,Atmautluak Tribal Utilities,0.25,0.68,,2019
0204430,Atmautluak,Atmautluak Tribal Utilities,0.22,0.66,,2020
0204430,Atmautluak,Atmautluak Tribal Utilities,0.23,0.66,,2021
0204500,Atqasuk,North Slope Borough Power & Light,0.14,0.15,,2011
0204500,Atqasuk,North Slope Borough Power & Light,0.14,0.15,,2012
0204500,Atqasuk,North Slope Borough Power & Light,0.14,0.15,,2013
0204500,Atqasuk,North Slope Borough Power & Light,0.15,0.15,,2014
0204500,Atqasuk,North Slope Borough Power & Light,0.16,0.16,,2015
0204500,Atqasuk,North Slope Borough Power & Light,0.15,0.15,,2016
0204500,Atqasuk,North Slope Borough Power & Light,0.21,0.21,,2017
0204500,Atqasuk,North Slope Borough Power & Light,0.22,0.22,,2018
0204500,Atqasuk,North Slope Borough Power & Light,0.25,0.25,,2019
0204500,Atqasuk,North Slope Borough Power & Light,0.23,0.23,,2020
0204500,Atqasuk,North Slope Borough Power & Light,0.15,0.15,,2021
0205000,Badger,Golden Valley Elec Assn Inc,0.22,0.21,0.17,2011
0205000,Badger,Golden Valley Elec Assn Inc,0.24,0.23,0.19,2012
0205000,Badger,Golden Valley Elec Assn Inc,0.23,0.21,0.17,2013
0205000,Badger,Golden Valley Elec Assn Inc,0.23,0.21,0.17,2014
0205000,Badger,Golden Valley Elec Assn Inc,0.21,0.19,0.15,2015
0205000,Badger,Golden Valley Elec Assn Inc,0.23,0.21,0.16,2016
0205000,Badger,Golden Valley Elec Assn Inc,0.24,0.22,0.17,2017
0205000,Badger,Golden Valley Elec Assn Inc,0.25,0.24,0.18,2018
0205000,Badger,Golden Valley Elec Assn Inc,0.26,0.25,0.18,2019
0205000,Badger,Golden Valley Elec Assn Inc,0.25,0.24,0.17,2020
0205000,Badger,Golden Valley Elec Assn Inc,0.27,0.26,0.18,2021
0205585,Bear Creek,City of Seward,0.19,0.20,0.16,2011
0205585,Bear Creek,City of Seward,0.20,0.22,0.17,2012
0205585,Bear Creek,City of Seward,0.20,0.22,0.17,2013
0205585,Bear Creek,City of Seward,0.21,0.23,0.19,2014
0205585,Bear Creek,City of Seward,0.22,0.23,0.18,2015
0205585,Bear Creek,City of Seward,0.22,0.23,0.19,2016
0205585,Bear Creek,City of Seward,,,,2018
0205585,Bear Creek,City of Seward,,,,2020
0205585,Bear Creek,City of Seward,,,,2021
0205750,Beaver,Beaver Joint Utilities,0.16,0.65,,2011
0205750,Beaver,Beaver Joint Utilities,0.28,0.86,,2012
0205750,Beaver,Beaver Joint Utilities,0.33,0.90,,2013
0205750,Beaver,Beaver Joint Utilities,0.36,0.90,,2014
0205750,Beaver,Beaver Joint Utilities,0.42,0.90,,2015
0205750,Beaver,Beaver Joint Utilities,0.51,0.90,,2016
0205750,Beaver,Beaver Joint Utilities,0.49,0.90,,2017
0205750,Beaver,Beaver Joint Utilities,0.28,0.90,,2018
0205750,Beaver,Beaver Joint Utilities,0.28,0.90,,2019
0205750,Beaver,Beaver Joint Utilities,0.33,0.90,,2020
0205750,Beaver,Beaver Joint Utilities,0.34,0.90,,2021
0206245,Beluga,Chugach Electric Assn Inc,0.14,0.12,0.11,2011
0206245,Beluga,Chugach Electric Assn Inc,0.14,0.12,0.11,2012
0206245,Beluga,Chugach Electric Assn Inc,0.15,0.12,0.11,2013
0206245,Beluga,Chugach Electric Assn Inc,0.16,0.13,0.12,2014
0206245,Beluga,Chugach Electric Assn Inc,0.17,0.14,0.12,2015
0206245,Beluga,Chugach Electric Assn Inc,0.18,0.15,0.13,2016
0206245,Beluga,Chugach Electric Assn Inc,0.20,0.16,0.15,2017
0206245,Beluga,Chugach Electric Assn Inc,0.20,0.16,0.14,2018
0206245,Beluga,Chugach Electric Assn Inc,0.21,0.17,0.15,2019
0206245,Beluga,Chugach Electric Assn Inc,0.21,0.17,0.15,2020
0206245,Beluga,Chugach Electric Assn Inc,0.21,0.16,0.14,2021
0206520,Bethel,Alaska Village Electric Cooperative,0.17,0.51,,2011
0206520,Bethel,Alaska Village Electric Cooperative,0.16,0.55,,2012
0206520,Bethel,Alaska Village Electric Cooperative,0.16,0.56,,2013
0206520,Bethel,Alaska Village Electric Cooperative,0.18,0.59,,2014
0206520,Bethel,Alaska Village Electric Cooperative,0.18,0.49,,2014
0206520,Bethel,Alaska Village Electric Cooperative,0.15,0.43,,2015
0206520,Bethel,Alaska Village Electric Cooperative,0.20,0.33,,2016
0206520,Bethel,Alaska Village Electric Cooperative,0.22,0.28,,2017
0206520,Bethel,Alaska Village Electric Cooperative,0.24,0.36,,2018
0206520,Bethel,Alaska Village Electric Cooperative,0.24,0.39,,2019
0206520,Bethel,Alaska Village Electric Cooperative,0.26,0.36,,2020
0206520,Bethel,Alaska Village Electric Cooperative,0.26,0.32,,2021
0206630,Bettles,Alaska Power & Telephone Company,0.18,0.64,,2011
0206630,Bettles,Alaska Power & Telephone Company,0.21,0.75,,2012
0206630,Bettles,Alaska Power & Telephone Company,0.22,0.72,,2013
0206630,Bettles,Alaska Power & Telephone Company,0.25,0.80,,2014
0206630,Bettles,Alaska Power & Telephone Company,0.31,0.83,,2015
0206630,Bettles,Alaska Power & Telephone Company,0.32,0.71,,2016
0206630,Bettles,Alaska Power & Telephone Company,0.31,0.67,,2017
0206630,Bettles,Alaska Power & Telephone Company,0.31,0.71,,2018
0206630,Bettles,Alaska Power & Telephone Company,0.31,0.75,,2019
0206630,Bettles,Alaska Power & Telephone Company,0.33,0.72,,2020
0206630,Bettles,Alaska Power & Telephone Company,0.36,0.74,,2021
0206850,Big Delta,Golden Valley Elec Assn Inc,0.22,0.21,0.17,2011
0206850,Big Delta,Golden Valley Elec Assn Inc,0.24,0.23,0.19,2012
0206850,Big Delta,Golden Valley Elec Assn Inc,0.23,0.21,0.17,2013
0206850,Big Delta,Golden Valley Elec Assn Inc,0.23,0.21,0.17,2014
0206850,Big Delta,Golden Valley Elec Assn Inc,0.21,0.19,0.15,2015
0206850,Big Delta,Golden Valley Elec Assn Inc,0.23,0.21,0.16,2016
0206850,Big Delta,Golden Valley Elec Assn Inc,0.24,0.22,0.17,2017
0206850,Big Delta,Golden Valley Elec Assn Inc,0.25,0.24,0.18,2018
0206850,Big Delta,Golden Valley Elec Assn Inc,0.26,0.25,0.18,2019
0206850,Big Delta,Golden Valley Elec Assn Inc,0.25,0.24,0.17,2020
0206850,Big Delta,Golden Valley Elec Assn Inc,0.27,0.26,0.18,2021
0207070,Big Lake,Matanuska Electric Assn Inc,0.15,0.13,,2011
0207070,Big Lake,Matanuska Electric Assn Inc,0.15,0.13,,2012
0207070,Big Lake,Matanuska Electric Assn Inc,0.15,0.13,,2013
0207070,Big Lake,Matanuska Electric Assn Inc,0.17,0.14,,2014
0207070,Big Lake,Matanuska Electric Assn Inc,0.20,0.17,,2015
0207070,Big Lake,Matanuska Electric Assn Inc,0.20,0.17,,2016
0207070,Big Lake,Matanuska Electric Assn Inc,0.21,0.18,,2017
0207070,Big Lake,Matanuska Electric Assn Inc,0.21,0.18,,2018
0207070,Big Lake,Matanuska Electric Assn Inc,0.22,0.19,,2019
0207070,Big Lake,Matanuska Electric Assn Inc,0.22,0.19,,2020
0207070,Big Lake,Matanuska Electric Assn Inc,0.21,0.19,,2021
0207620,Birch Creek,Birch Creek Electric Company,0.37,1.15,,2017
0207620,Birch Creek,Birch Creek Electric Company,0.37,1.15,,2018
0207620,Birch Creek,Birch Creek Electric Company,0.38,1.15,,2019
0207620,Birch Creek,Birch Creek Electric Company,0.39,1.15,,2020
0207620,Birch Creek,Birch Creek Electric Company,0.39,1.15,,2021
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.21,0.54,,2011
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.21,0.55,,2012
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.20,0.58,,2013
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.20,0.59,,2014
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.22,0.61,,2015
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.22,0.60,,2016
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.22,0.47,,2017
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.24,0.50,,2018
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.24,0.53,,2019
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.26,0.55,,2020
0208740,Brevig Mission,Alaska Village Electric Cooperative,0.26,0.53,,2021
0209600,Buckland,City of Buckland,0.19,0.47,,2011
0209600,Buckland,City of Buckland,0.21,0.47,,2012
0209600,Buckland,City of Buckland,0.22,0.47,,2013
0209600,Buckland,City of Buckland,0.22,0.47,,2014
0209600,Buckland,City of Buckland,0.25,0.47,,2015
0209600,Buckland,City of Buckland,0.31,0.47,,2016
0209600,Buckland,City of Buckland,0.34,0.47,,2017
0209600,Buckland,City of Buckland,0.36,0.47,,2018
0209600,Buckland,City of Buckland,0.36,0.47,,2019
0209600,Buckland,City of Buckland,0.27,0.47,,2020
0209600,Buckland,City of Buckland,0.36,0.48,,2021
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.15,0.13,,2011
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.15,0.13,,2012
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.15,0.13,,2013
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.17,0.14,,2014
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.20,0.17,,2015
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.20,0.17,,2016
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.21,0.18,,2017
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.21,0.18,,2018
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.22,0.19,,2019
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.22,0.19,,2020
0209657,Buffalo Soapstone,Matanuska Electric Assn Inc,0.21,0.19,,2021
0209710,Butte,Matanuska Electric Assn Inc,0.15,0.13,,2011
0209710,Butte,Matanuska Electric Assn Inc,0.15,0.13,,2012
0209710,Butte,Matanuska Electric Assn Inc,0.15,0.13,,2013
0209710,Butte,Matanuska Electric Assn Inc,0.17,0.14,,2014
0209710,Butte,Matanuska Electric Assn Inc,0.20,0.17,,2015
0209710,Butte,Matanuska Electric Assn Inc,0.20,0.17,,2016
0209710,Butte,Matanuska Electric Assn Inc,0.21,0.18,,2017
0209710,Butte,Matanuska Electric Assn Inc,0.21,0.18,,2018
0209710,Butte,Matanuska Electric Assn Inc,0.22,0.19,,2019
0209710,Butte,Matanuska Electric Assn Inc,0.22,0.19,,2020
0209710,Butte,Matanuska Electric Assn Inc,0.21,0.19,,2021
0210150,Cantwell,Golden Valley Elec Assn Inc,0.22,0.21,0.17,2011
0210150,Cantwell,Golden Valley Elec Assn Inc,0.24,0.23,0.19,2012
0210150,Cantwell,Golden Valley Elec Assn Inc,0.23,0.21,0.17,2013
0210150,Cantwell,Golden Valley Elec Assn Inc,0.23,0.21,0.17,2014
0210150,Cantwell,Golden Valley Elec Assn Inc,0.21,0.19,0.15,2015
0210150,Cantwell,Golden Valley Elec Assn Inc,0.23,0.21,0.16,2016
0210150,Cantwell,Golden Valley Elec Assn Inc,0.24,0.22,0.17,2017
0210150,Cantwell,Golden Valley Elec Assn Inc,0.25,0.24,0.18,2018
